pump_intensity_w_cm2,final_relative_deg,abs_final_relative_deg,min_relative_deg,max_relative_deg,span_relative_deg,variance_relative_deg2,pump1_frequency_inv_um,pump2_frequency_inv_um,pump1_cold_frequency_inv_um,pump2_cold_frequency_inv_um,summary_final_relative_unwrapped_deg,summary_mean_relative_deg,summary_td_final_relative_deg,summary_td_final_relative_unwrapped_deg,pump_ratio_tail_weighted,pump_ratio_final,pump1_purity_tail,pump2_purity_tail,summary_path
100000000.0,0.00036684039343981567,0.00036684039343981567,-0.7654771487343197,0.7570977981651765,1.5225749468994962,4.180000385342947e-11,0.535,0.511637,0.535,0.511637,0.00036684039345150445,0.000348305635008605,-4.035540329357868,-24838.758270124614,0.09317702121831142,0.09318051354655296,0.9999547300166596,0.9999620185796777,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_00_1.00e8/faraday_summary.json
143844988.82876602,0.00044618657254602567,0.00044618657254602567,-0.9183137571633893,0.9076236182311845,1.8259373753945738,4.9963504059793695e-11,0.535,0.511637,0.535,0.511637,0.0004461865725086835,0.0004251470970429555,-0.9289253177724068,-24142.20211027598,0.0931767496708261,0.09317542624625036,0.9999547294398149,0.9999619864196876,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_01_1.44e8/faraday_summary.json
206913808.111479,0.0005459680749169138,0.0005459680749169138,-1.101708701691038,1.0879676085945391,2.189676310285577,6.326694532913703e-11,0.535,0.511637,0.535,0.511637,0.0005459680749542198,0.0005206619356058732,2.774922920307696,-23574.210673625494,0.09317600125406991,0.09317935160053399,0.9999547275070381,0.9999620169832477,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_02_2.07e8/faraday_summary.json
297635144.1631313,0.0006679038413608396,0.0006679038413608396,-1.3222696031049281,1.3039821094749016,2.6262517125798297,7.793236708429023e-11,0.535,0.511637,0.535,0.511637,180.00066790384133,0.0006393202502938198,-4.881068355083029,-23145.788990348094,0.09317420192443968,0.09317226281133809,0.9999547267341599,0.99996200196458,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_03_2.98e8/faraday_summary.json
428133239.87193954,0.0008219675214462541,0.0008219675214462541,-1.5882125599052017,1.5626395215610671,3.150852081466269,9.722701807310098e-11,0.535,0.511637,0.535,0.511637,180.00082196752143,0.000788511205386573,-4.838828049830066,-22841.256615728627,0.09317211251531711,0.09317357304662813,0.9999547280253275,0.999961992975282,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_04_4.28e8/faraday_summary.json
615848211.0660255,0.0010180729194075866,0.0010180729194075866,-1.9081434521871614,1.8722307509618048,3.780374203148966,1.2838287317463698e-10,0.535,0.511637,0.535,0.511637,180.00101807291938,0.000976818676730254,-10.994478197807547,-22648.245773096478,0.09316915066547524,0.09317069665803644,0.9999547269100253,0.999962007726761,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_05_6.16e8/faraday_summary.json
885866790.4100832,0.0012623844980623744,0.0012623844980623744,-2.2932080164130184,2.24258930876033,4.535797325173348,1.6506214875101242e-10,0.535,0.511637,0.535,0.511637,0.0012623844979769538,0.0012149030081208374,-9.154478561562053,-22436.099501723937,0.09316416548296744,0.09316244038420803,0.9999547297779476,0.9999620090543848,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_06_8.86e8/faraday_summary.json
1274274985.7031322,0.0015786209831389897,0.0015786209831389897,-2.7569088161650797,2.685338107779671,5.442246923944751,2.1736393021492165e-10,0.535,0.511637,0.535,0.511637,0.001578620983219595,0.0015207491380292864,-6.607090477866333,-22308.98103734346,0.0931569103956567,0.09315669514328105,0.9999547312985377,0.9999619993471018,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_07_1.27e9/faraday_summary.json
1832980710.8324375,0.001981309186874114,0.001981309186874114,-3.315608200799744,3.214150691714906,6.52975889251465,3.0416205691515216e-10,0.535,0.511637,0.535,0.511637,180.00198130918685,0.0019130506888177948,5.775076696603946,-22023.464422229554,0.09314686993196422,0.09314808287027698,0.9999547352339335,0.9999619981296353,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_08_1.83e9/faraday_summary.json
2636650898.7303553,0.0025045950815894003,0.0025045950815894003,-3.9891252156916437,3.845009646986142,7.834134862677786,3.954634053387106e-10,0.535,0.511637,0.535,0.511637,180.00250459508177,0.0024275135027606904,16.393056375787307,-20959.908556839335,0.09313261698167206,0.09313486243459017,0.9999547416272889,0.9999620006692534,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_09_2.64e9/faraday_summary.json
