delta_inv_um,pump_separation_nm,f1,f2,theta_fwd_coh_deg,theta_fwd_incoh_deg,theta_total_deg,dolp_coh,s0_rel_max,p2_over_p1
0.0015,4.28019183291517,0.592739987,0.591239987,1.9790807231519807,1.979080735385313,1.9790804869131269,0.9707551975592377,0.9995743791032232,0.9955893750174261
0.0025,7.133673410519181,0.593239987,0.590739987,1.9074097410300368,1.9074097445367597,1.9074095919980194,0.9713750995356089,0.9995895547115384,0.9927644202943328
0.0035,9.987185521918462,0.593739987,0.590239987,1.826675257767704,1.8266752617577942,1.8266751072417033,0.9723972490866042,0.9995873115585834,0.9900964176161728
0.0045,12.840740381242055,0.594239987,0.589739987,1.7392806352670362,1.7392806295649121,1.7392805543948864,0.9737804027491613,0.9996022780737285,0.987639430533295
0.006,17.121179542533007,0.594989987,0.588989987,1.6004790055057754,1.6004789922242628,1.6004789394365786,0.9763934012333746,0.999608469387714,0.9844671489669905
0.008,22.82869538660193,0.595989987,0.587989987,1.4116485039916995,1.4116484830477716,1.4116484705098968,0.9805101035439535,0.9996036831587712,0.981439664253173
0.011,31.390732617201156,0.597489987,0.586489987,1.1447173628726262,1.1447173165976723,1.1447180771073848,0.9868838544193733,0.9996271498849242,0.980074998001493
0.016,45.66364542191303,0.599989987,0.583989987,0.7807515659683872,0.7807514533257289,0.7807528180990875,0.9948537587391436,0.9996128163491211,0.9870704456137156
