delta,I,abs_theta,dolp,p2p1
0.006,50000000000.0,0.37896021711932804,0.9983765486848585,0.9987575400013814
0.006,100000000000.0,0.8340793530400674,0.9936258101749367,0.9979118320892765
0.006,200000000000.0,2.0014578160241285,0.9755028131514353,0.9961564100241268
0.006,400000000000.0,5.687263908235195,0.9118288940092272,0.9925046359889185
0.006,800000000000.0,20.77665390466447,0.7974147844557696,0.9855156417725749
0.0234,50000000000.0,0.06956764429801865,0.999953255198574,0.9965749772625085
0.0234,100000000000.0,0.1609899298694586,0.9998120890796677,0.9989684337558025
0.0234,200000000000.0,0.4318464408168694,0.9992385180973041,1.0033819249764746
0.0234,400000000000.0,1.41786907200013,0.9968835251189719,1.0108218426010085
0.0234,800000000000.0,6.242714502454746,0.9899694836353036,1.0212343223311
