wavelength_nm,R
1.082900384007228013e+03,6.108662854135358256e-01
1.081190798376183693e+03,4.756086467322763744e-01
1.079486602116640142e+03,2.941301534484397351e-01
1.077787769784172269e+03,1.055405986497873205e-01
1.076094276094275756e+03,1.513746846897882220e-02
1.074406095921111273e+03,9.005796507986975341e-02
1.072723204296262793e+03,2.570598372810248833e-01
1.071045576407506360e+03,4.196590897121543207e-01
1.069373187597590686e+03,5.432850317468957968e-01
1.067706013363028660e+03,6.297026064961944725e-01
1.066044029352901589e+03,6.885627327932173358e-01
1.064387211367672990e+03,7.281480512666352878e-01
1.062735535358013522e+03,7.541032257155746432e-01
1.061088977423638426e+03,7.699759236590320022e-01
1.059447513812154511e+03,7.778581148980056037e-01
1.057811120917916696e+03,7.788239186242578160e-01
1.056179775280898639e+03,7.731737141778762812e-01
1.054553453585569514e+03,7.605327783126226704e-01
1.052932132659784429e+03,7.398397738126525347e-01
1.051315789473683935e+03,7.092507688895351992e-01
1.049704401138602861e+03,6.660016242584205770e-01
1.048097944905990062e+03,6.063578318821051250e-01
1.046496398166339077e+03,5.260293179363395577e-01
1.044899738448125390e+03,4.219623650946197624e-01
1.043307943416757098e+03,2.970393806961871275e-01
1.041720990873533083e+03,1.679560011751897453e-01
1.040138858754610283e+03,6.897383615455790484e-02
1.038561525129982556e+03,3.589774955529518446e-02
1.036988968202465458e+03,7.566638909142404945e-02
1.035421166306695113e+03,1.613498749108520647e-01
1.033858097908130048e+03,2.586803184546738188e-01
1.032299741602066888e+03,3.461451004975462098e-01
1.030746076112663559e+03,4.157114368265079629e-01
1.029197080291970451e+03,4.666236811206174728e-01
1.027652733118970900e+03,5.006689564225484945e-01
1.026113013698629857e+03,5.199173374750041265e-01
1.024577901260953013e+03,5.259052622982218761e-01
1.023047375160050819e+03,5.194379109479150269e-01
1.021521414873215235e+03,5.006263570329461121e-01
1.019999999999999773e+03,4.690462482326970828e-01
1.018483110261312504e+03,4.240539020781738389e-01
1.016970725498514753e+03,3.654003680185932690e-01
1.015462825672526606e+03,2.943375293755522981e-01
1.013959390862943792e+03,2.152694456395081446e-01
1.012460401267159227e+03,1.373646491056658980e-01
1.010965837199493649e+03,7.435777493408726735e-02
1.009475679090334552e+03,4.042650229396714534e-02
1.007989907485281606e+03,4.306501611414788322e-02
1.006508503044299459e+03,7.864867842079094340e-02
1.005031446540880324e+03,1.351232229934357099e-01
1.003558718861209627e+03,1.988004044661913217e-01
1.002090301003344166e+03,2.593140430481080116e-01
1.000626174076392886e+03,3.107668521979171650e-01
9.991663192997078795e+02,3.506592886243440343e-01
9.977107180020809665e+02,3.784167412826010546e-01
9.962593516209472000e+02,3.943029835995942034e-01
9.948122017015977008e+02,3.988062406211552169e-01
9.933692498963940807e+02,3.923727396763198039e-01
9.919304779639973049e+02,3.753693643987174311e-01
9.904958677685948487e+02,3.482145894195620150e-01
9.890654012791414971e+02,3.116636376420496291e-01
9.876390605686029858e+02,2.672415655408959534e-01
9.862168278132068053e+02,2.177606340399175500e-01
9.847986852917006217e+02,1.677127047389504189e-01
9.833846153846151310e+02,1.231413722297439728e-01
9.819746005735353265e+02,9.058728830135906462e-02
9.805686234403759727e+02,7.516071082696454408e-02
9.791666666666665151e+02,7.863429285644769895e-02
9.777687130328366720e+02,9.879941689561588802e-02
9.763747454175151006e+02,1.305301270396775903e-01
9.749847467968269257e+02,1.677426646297749957e-01
9.735987002437041156e+02,2.050566282688304487e-01
9.722165889271950618e+02,2.385739519750822157e-01
9.708383961117858689e+02,2.659054341454698545e-01
9.694641051567236900e+02,2.858370693846458144e-01
9.680936995153471116e+02,2.979412206155049869e-01
9.667271627344219951e+02,3.022822779959566386e-01
9.653644784534833434e+02,2.992465705720024349e-01
9.640056304041825115e+02,2.894816583530297471e-01
9.626506024096381680e+02,2.739131736383466631e-01
9.612993783837977162e+02,2.538001726069692432e-01
9.599519423307966690e+02,2.307809510962365307e-01
9.586082783443309836e+02,2.068519397096680312e-01
9.572683706070283733e+02,1.842257172420804223e-01
9.559322033898303062e+02,1.650479031404666064e-01
9.545997610513736618e+02,1.510206364344646723e-01
9.532710280373829619e+02,1.430529771091069158e-01
9.519459888800632825e+02,1.410792830680133725e-01
9.506246281975012380e+02,1.441269678486602202e-01
9.493069306930690345e+02,1.505925460361543233e-01
9.479928811548345493e+02,1.586124445525208260e-01
9.466824644549761842e+02,1.663973299372648040e-01
9.453756655492010168e+02,1.724584644937563471e-01
9.440724694761714773e+02,1.757200493161988342e-01
9.427728613569317986e+02,1.755503250851768449e-01
9.414768263943437887e+02,1.717537084269202541e-01
9.401843498725238533e+02,1.645483481841369666e-01
9.388954171562864985e+02,1.545443679591474995e-01
9.376100136905923819e+02,1.427139204368800540e-01
9.363281249999997726e+02,1.303345946816245604e-01
9.350497366881213566e+02,1.188840823770373201e-01
9.337748344370857012e+02,1.098736844971248683e-01
9.325034040070023593e+02,1.046321335185717433e-01
9.312354312354309513e+02,1.040818681753536701e-01
9.299709020368572965e+02,1.085703844866977019e-01
9.287098024021694300e+02,1.178129398874334932e-01
