wavelength,n,k
1298,2.57387464,5.80878607e-005
1300,2.57370273,5.77267559e-005
1302,2.57353166,5.73691238e-005
1304,2.57336143,5.70149218e-005
1306,2.57319203,5.6664108e-005
1308,2.57302346,5.63166409e-005
1310,2.57285572,5.59724799e-005
1312,2.5726888,5.5631585e-005
1314,2.57252269,5.52939164e-005
1316,2.57235738,5.49594354e-005
1318,2.57219288,5.46281034e-005
1320,2.57202917,5.42998826e-005
1322,2.57186626,5.39747358e-005
1324,2.57170413,5.36526262e-005
1326,2.57154278,5.33335175e-005
1328,2.57138221,5.30173741e-005
1330,2.57122241,5.27041607e-005
1332,2.57106338,5.23938425e-005
1334,2.57090511,5.20863856e-005
1336,2.57074759,5.17817559e-005
1338,2.57059083,5.14799205e-005
1340,2.57043481,5.11808464e-005
1342,2.57027953,5.08845014e-005
1344,2.57012499,5.05908535e-005
1346,2.56997118,5.02998715e-005
1348,2.5698181,5.00115242e-005
1350,2.56966574,4.97257812e-005
1352,2.5695141,4.94426124e-005
1354,2.56936317,4.9161988e-005
1356,2.56921296,4.88838788e-005
1358,2.56906344,4.86082559e-005
1360,2.56891463,4.83350908e-005
1362,2.56876651,4.80643555e-005
1364,2.56861909,4.77960222e-005
1366,2.56847235,4.75300635e-005
1368,2.56832629,4.72664527e-005
1370,2.56818091,4.7005163e-005
1372,2.5680362,4.67461683e-005
1374,2.56789217,4.64894427e-005
1376,2.5677488,4.62349606e-005
1378,2.56760609,4.5982697e-005
1380,2.56746404,4.57326271e-005
1382,2.56732264,4.54847262e-005
1384,2.56718189,4.52389703e-005
1386,2.56704178,4.49953355e-005
1388,2.56690232,4.47537983e-005
1390,2.5667635,4.45143356e-005
1392,2.5666253,4.42769243e-005
1394,2.56648774,4.40415419e-005
1396,2.5663508,4.38081662e-005
1398,2.56621448,4.35767752e-005
1400,2.56607878,4.3347347e-005
1402,2.5659437,4.31198604e-005
1404,2.56580922,4.28942942e-005
1406,2.56567535,4.26706275e-005
1408,2.56554209,4.24488397e-005
1410,2.56540942,4.22289106e-005
1412,2.56527735,4.201082e-005
1414,2.56514587,4.17945482e-005
1416,2.56501498,4.15800757e-005
