pump_intensity_w_cm2,final_relative_deg,abs_final_relative_deg,min_relative_deg,max_relative_deg,span_relative_deg,variance_relative_deg2,pump1_frequency_inv_um,pump2_frequency_inv_um,pump1_cold_frequency_inv_um,pump2_cold_frequency_inv_um,summary_final_relative_unwrapped_deg,summary_mean_relative_deg,summary_td_final_relative_deg,summary_td_final_relative_unwrapped_deg,pump_ratio_tail_weighted,pump_ratio_final,pump1_purity_tail,pump2_purity_tail,summary_path
100000000.0,0.00046281222618915763,0.00046281222618915763,-3.0166470308771522,2.898085945605686,5.9147329764828385,6.1917348497166655e-12,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,0.00046281222473179036,0.0003934664390569295,10.144046693936986,1669.217940286131,0.9978509614433013,0.9978509320598742,0.9999551265434138,0.9999615106604446,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_00_1.00e8/faraday_summary.json
246038305.2524181,0.0008074333424445967,0.0008074333424445967,-4.795984660511877,4.497640997829905,9.293625658341782,5.065275308395478e-11,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,0.0008074333468290708,0.0006946967057815972,8.63364572497942,691.7889984575976,0.9978561667226858,0.9978564333219148,0.9999551368629076,0.9999614846201919,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_01_2.46e8/faraday_summary.json
605348476.5148206,0.0014324737174291613,0.0014324737174291613,-7.6968895840623475,6.93221925465626,14.629108838718608,2.8322343715895885e-10,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,180.00143247369292,0.001193120078189519,6.207500430397374,546.2114112682419,0.9978689367303897,0.9978684905477121,0.9999551643584605,0.9999614257428536,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_02_6.05e8/faraday_summary.json
1489389132.488397,0.0027562034949539793,0.0027562034949539793,-12.479399765056286,10.61754655256442,23.096946317620706,1.996411452866693e-09,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,-179.9972437964543,0.0022336613779687046,4.093701377735508,544.1111725251212,0.9979004301823472,0.9978977459592173,0.9999552362120782,0.9999612814675689,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_03_1.49e9/faraday_summary.json
3664467780.1881585,0.005318543045675028,0.005318543045675028,-20.442555553276662,16.114411092735537,36.5569666460122,1.5696281057136337e-08,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,-1079.9946814568423,0.004347734573602682,4.806930985343028,544.8263853737161,0.9979778740787999,0.9979710894110555,0.9999554107481217,0.9999609040358363,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_04_3.66e9/faraday_summary.json
9015994422.895851,0.011871431858097026,0.011871431858097026,-33.44011791016203,24.221020290505535,57.661138200667565,1.2961541731298136e-07,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,-1259.9881285689248,0.00857950453462043,3.082942735712157,543.093207519164,0.9981656383255282,0.9981502014974627,0.9999556367885959,0.9999598230247151,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_05_9.02e9/faraday_summary.json
22182799879.745483,0.026194432508532373,0.026194432508532373,-58.60379036681563,51.34577554114637,109.949565907962,1.1825236903422497e-06,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,-539.9738055564367,0.018953142170092835,4.535672465578256,544.5400290278145,0.998621457798486,0.9985886447659588,0.9999553839970694,0.9999562336055031,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_06_2.22e10/faraday_summary.json
54578184881.661224,0.07024488819010344,0.07024488819010344,-89.54366491742495,89.87249315080501,179.41615806822995,1.2063124087491944e-05,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,-179.92975516669333,0.04823798620454598,4.831404528940763,544.833889298464,0.9996953985204101,0.9996375865624613,0.999949473458999,0.9999417367235512,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_07_5.46e10/faraday_summary.json
134283241120.37129,0.21645514843007163,0.21645514843007163,-89.82286428064344,89.78784454565061,179.61070882629406,7.236941320837596e-05,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,0.2164549767093193,0.10477499046963223,2.2633269191019307,542.267066974935,1.0020917022391316,1.0020296980810988,0.9999024923387918,0.9998714058494166,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_08_1.34e11/faraday_summary.json
330388210690.5798,0.906707369141202,0.906707369141202,-89.9739093469829,89.9684306078646,179.9423399548475,0.00030664068589739336,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,180.90670772314206,0.6745262950449926,-0.16424780052688323,539.8387717384014,1.006980669431729,1.0069542749331732,0.999597832778116,0.9994845371567775,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_09_3.30e11/faraday_summary.json
812881554336.8909,5.825805650075978,5.825805650075978,-89.6150817329441,89.97543479366453,179.59051652660864,0.0033515836382146842,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,365.8258051824735,4.804635092190348,-8.926196745756517,531.0794044256011,1.015190727156702,1.0151843788660748,0.99779252295015,0.9972638246316596,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_10_8.13e11/faraday_summary.json
2000000000000.0,16.55100106487447,16.55100106487447,-89.88444823638156,89.96285852110597,179.84730675748753,6.034561398781712e-08,0.6036712557363373,0.5803087192323739,0.6036712557363373,0.5803087192323739,1636.5510010648422,14.007159456822297,-29.28773197859456,510.7127397771719,1.033753931196395,1.0337539254843433,0.9876332750093313,0.9867733447171672,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d/dim1/I_11_2.00e12/faraday_summary.json
