delta_inv_um,pump_separation_nm,f1,f2,theta_fwd_coh_deg,theta_fwd_incoh_deg,theta_total_deg,dolp_coh,s0_rel_max,p2_over_p1
0.006,17.121179542533007,0.594989987,0.588989987,1.6004790055057754,1.6004789922242628,1.6004789394365786,0.9763934012333746,0.999608469387714,0.9844671489669905
0.01,28.536602118324204,0.596989987,0.586989987,1.2303392425064317,1.230339204316599,1.2303398797404375,0.9848189501915617,0.9996293211126365,0.980069601345198
0.016,45.66364542191303,0.599989987,0.583989987,0.7807515659683872,0.7807514533257289,0.7807528180990875,0.9948537587391436,0.9996128163491211,0.9870704456137156
0.0234,66.79697696718168,0.603689987,0.580289987,0.39775373429561967,0.3977535250013628,0.39775598560675884,0.9992902096248772,0.999694440370961,1.003892910480247
0.032,91.37736232549986,0.607989987,0.575989987,0.07815618808874092,0.07815611046997846,0.07815789170585223,0.9999701468673696,0.9998359540944858,0.9462528982610271
0.046,131.45743771350516,0.614989987,0.568989987,-0.05377975179511907,-0.053779853752081885,-0.05377880940250542,0.9999968368202016,0.9997539319492427,0.6436522684432182
0.063,180.2781977388117,0.623489987,0.560489987,-0.01573345441386209,-0.015733412826733538,-0.01573399212109215,0.9999994905562455,0.9996657644859587,0.40302518169849266
0.086,246.69886461285896,0.634989987,0.548989987,-0.015047512823556985,-0.015047515140505672,-0.015047237618972314,0.9999998844339649,0.9994892455851516,0.37874887332164825
0.115,331.27282146500824,0.649489987,0.534489987,0.010971492386460113,0.010971492751861312,0.010971466255731775,0.9999999358081046,0.9889876447973976,0.7453932444021819
0.15,435.00055695124297,0.666989987,0.516989987,-0.018349163626481868,-0.018349163628590952,-0.018349232414043123,0.9999999995314667,0.9999714871253489,0.08457705816193525
