delay_fs,position_mm,X_A,Y_A,R_A,theta_A
-480.000,185.85825,8.66588962e-05,1.94086560e-05,8.82867353e-05,9.3521
-460.000,185.86125,7.35093854e-05,1.48126537e-05,8.35497158e-05,6.3886
-440.000,185.86425,4.04253094e-05,-9.85338625e-06,3.99513469e-05,-16.6343
-420.000,185.86725,7.16199029e-05,7.02310081e-06,8.03293988e-05,8.6185
-400.000,185.87025,7.79783077e-05,1.72828595e-05,7.66961621e-05,16.8289
-380.000,185.87325,5.84642867e-05,-1.06109860e-06,6.36795112e-05,4.6579
-360.000,185.87625,6.26245956e-05,1.36146964e-05,5.93381428e-05,10.8944
-340.000,185.87925,5.64494949e-05,1.04398805e-06,5.27443553e-05,-1.4469
-320.000,185.88225,6.14729506e-05,-8.03840794e-06,7.64119586e-05,-11.2555
-300.000,185.88525,7.50979434e-05,-1.08512023e-05,6.37871290e-05,-6.4958
-280.000,185.88825,7.89375790e-05,1.37548022e-05,8.25810803e-05,0.4050
-260.000,185.89125,5.49031256e-05,4.15776913e-06,5.49907663e-05,12.3412
-240.000,185.89425,7.57428843e-05,5.34961987e-06,7.80793725e-05,2.1830
-220.000,185.89725,6.84052666e-05,6.53015991e-06,7.40832220e-05,-2.5978
-200.000,185.90025,5.32325894e-05,-1.61243446e-06,5.33758566e-05,2.7754
-180.000,185.90325,7.82188563e-05,1.47753671e-05,7.57567286e-05,15.6355
-160.000,185.90625,8.42925019e-05,-1.87755188e-06,8.19563738e-05,-6.0318
-140.000,185.90925,6.33278305e-05,-9.71431404e-07,7.58808164e-05,-4.4195
-120.000,185.91225,6.39294258e-05,5.52108770e-06,5.95103011e-05,2.8720
-100.000,185.91525,7.10349377e-05,2.45206494e-05,7.90912254e-05,11.7887
-80.000,185.91825,8.41238107e-05,1.33247329e-05,8.25859879e-05,8.9570
-60.000,185.92125,6.09444360e-05,1.42332430e-05,7.84357499e-05,8.5959
-40.000,185.92425,6.64798672e-05,1.28460363e-06,5.89005576e-05,6.0747
-20.000,185.92725,6.09204826e-05,-1.77828682e-06,5.94983185e-05,3.3681
0.000,185.93025,5.23087547e-05,8.13174438e-07,5.14558569e-05,-2.8823
20.000,185.93320,6.57921883e-05,1.34625907e-05,6.54120413e-05,5.5176
40.000,185.93620,6.79582640e-05,-7.47596619e-06,6.76227401e-05,-2.8587
60.000,185.93920,7.19390855e-05,1.36846681e-05,6.46285662e-05,9.2585
80.000,185.94220,6.95838116e-05,-6.12972656e-06,7.45331072e-05,-5.4529
100.000,185.94520,5.92515526e-05,-1.30090691e-05,6.16136685e-05,-4.8110
120.000,185.94820,7.56267727e-05,9.85547285e-06,7.39277693e-05,7.4858
140.000,185.95120,7.20255766e-05,7.75420631e-06,7.01761110e-05,0.3430
160.000,185.95420,9.83735354e-05,7.47725244e-06,1.06587737e-04,-4.0101
180.000,185.95720,6.67695949e-05,-5.58078511e-07,7.54748653e-05,-0.5947
200.000,185.96020,5.66577255e-05,1.60004436e-05,7.16489094e-05,9.4403
220.000,185.96320,6.52573963e-05,1.13061610e-05,7.55115452e-05,17.6161
240.000,185.96620,8.57969144e-05,-5.62565276e-06,8.21859785e-05,-4.3820
260.000,185.96920,6.29739175e-05,4.44849422e-06,5.73444659e-05,3.2715
280.000,185.97220,6.12824288e-05,2.68052677e-05,6.50455258e-05,19.3790
300.000,185.97520,5.93843170e-05,9.23358158e-06,5.38082695e-05,11.9412
320.000,185.97820,4.29651136e-05,1.45859972e-05,3.61768725e-05,21.9719
340.000,185.98120,4.29653055e-05,6.64634126e-06,4.37968038e-05,8.3816
360.000,185.98420,5.44973509e-05,-7.79841952e-06,5.70163979e-05,-0.4773
380.000,185.98720,7.50725158e-05,1.28377994e-05,7.96487111e-05,9.5067
400.000,185.99020,6.10181723e-05,-6.33575803e-06,6.14004530e-05,-2.5161
420.000,185.99320,6.98985496e-05,1.12882711e-05,8.07888046e-05,10.7416
440.000,185.99620,7.46066708e-05,-1.00879365e-05,7.65783534e-05,0.9696
460.000,185.99920,5.60554145e-05,1.34247762e-06,5.30866919e-05,15.5159
480.000,186.00220,6.45020455e-05,-9.04656096e-06,6.41543456e-05,-22.9214
500.000,186.00515,5.12837096e-05,1.37772483e-05,6.16019279e-05,6.0823
