delay_fs,position_mm,X_A,Y_A,R_A,theta_A
-1500.000,185.70530,5.67261923e-05,-1.18001822e-07,6.96701682e-05,0.0814
-1480.000,185.70835,6.24326140e-05,2.53504544e-06,6.75618958e-05,1.1877
-1460.000,185.71135,8.56809165e-05,1.96611086e-06,6.73225823e-05,-4.3559
-1440.000,185.71430,7.25287573e-05,1.60358718e-05,7.06417704e-05,5.6359
-1420.000,185.71730,6.27486315e-05,1.74541342e-05,7.20160833e-05,10.4272
-1400.000,185.72030,6.71985144e-05,2.45848121e-05,7.54767334e-05,21.7822
-1380.000,185.72330,6.81287274e-05,2.73363344e-06,5.89371193e-05,14.5607
-1360.000,185.72635,5.41547588e-05,-4.28057683e-06,6.02472646e-05,1.5588
-1340.000,185.72935,5.29244953e-05,7.44018416e-06,6.83487760e-05,13.6722
-1320.000,185.73235,7.01705030e-05,1.53488580e-06,6.44506981e-05,-6.3317
-1300.000,185.73535,4.30019145e-05,9.92978073e-06,4.37525896e-05,10.8678
-1280.000,185.73835,5.23727686e-05,-5.83942221e-06,6.40067356e-05,1.1651
-1260.000,185.74135,9.43614832e-05,5.22873461e-06,8.36746021e-05,-0.0111
-1240.000,185.74435,7.84456779e-05,3.32207667e-06,7.11625671e-05,1.1408
-1220.000,185.74730,8.63334517e-05,1.94185036e-05,9.09293840e-05,10.1009
-1200.000,185.75035,6.93508919e-05,-1.13291514e-06,7.77299274e-05,10.0438
-1180.000,185.75335,5.48636781e-05,8.05354432e-06,6.08099508e-05,8.0852
-1160.000,185.75635,5.87173590e-05,1.50009130e-05,6.63046148e-05,-0.8745
-1140.000,185.75935,5.82922735e-05,4.49514780e-06,5.79641783e-05,14.8900
-1120.000,185.76235,7.24631027e-05,1.75547393e-06,8.71973607e-05,7.0781
-1100.000,185.76535,8.13037695e-05,4.07276391e-06,1.01745047e-04,6.7777
-1080.000,185.76835,1.03111775e-04,2.07730484e-05,1.05038755e-04,5.5217
-1060.000,185.77135,9.28603476e-05,-2.24316065e-05,8.33754420e-05,-9.8532
-1040.000,185.77435,5.93097666e-05,1.76233425e-06,5.49307042e-05,10.1252
-1020.000,185.77735,9.82773308e-05,3.37991507e-05,1.02629396e-04,12.2564
-1000.000,185.78035,1.17187643e-04,-3.01110797e-06,1.04382856e-04,6.1375
-980.000,185.78335,9.22086856e-05,1.04093200e-05,9.22943036e-05,2.7374
-960.000,185.78630,6.53233274e-05,-6.15834645e-06,7.88653488e-05,4.1070
-940.000,185.78930,5.83193078e-05,-1.19598601e-05,6.03612534e-05,-12.5772
-920.000,185.79230,5.83707060e-05,-6.47765501e-06,6.62212124e-05,-3.3228
-900.000,185.79530,6.38416614e-05,6.59061763e-06,6.18798185e-05,10.9881
-880.000,185.79825,7.15584047e-05,-4.12145016e-06,7.66144976e-05,-0.3794
-860.000,185.80130,7.96423537e-05,-8.00172202e-06,8.00981434e-05,0.6109
-840.000,185.80430,7.87047629e-05,-2.38186158e-06,6.20312931e-05,2.5010
-820.000,185.80730,7.45741272e-05,4.61792320e-06,7.50210511e-05,5.1402
-800.000,185.81030,5.22166583e-05,-5.15238344e-06,5.73314564e-05,-0.4965
-780.000,185.81330,7.64766619e-05,-1.16792378e-05,7.35975846e-05,3.6138
-760.000,185.81630,6.16898215e-05,3.74565040e-06,5.37538335e-05,-2.0003
-740.000,185.81930,5.97778926e-05,-5.96062290e-06,6.72188435e-05,-4.5101
-720.000,185.82230,7.80159444e-05,6.50951301e-06,7.46384558e-05,9.2434
-700.000,185.82530,7.10212189e-05,4.14595922e-06,6.66696869e-05,9.2619
-680.000,185.82830,7.37749951e-05,1.94629904e-05,7.91753728e-05,18.1479
-660.000,185.83130,7.98132533e-05,2.29969362e-06,8.85706213e-05,1.1245
-640.000,185.83430,6.81933492e-05,2.76053205e-05,6.66899650e-05,19.4811
-620.000,185.83730,4.60213996e-05,1.42996153e-05,6.60023156e-05,21.6902
-600.000,185.84030,7.67904203e-05,2.51536600e-05,8.93541401e-05,5.6053
-580.000,185.84330,6.74348539e-05,4.84201064e-06,6.32234114e-05,1.1641
-560.000,185.84630,8.52525282e-05,1.29941304e-05,7.70748411e-05,6.8277
-540.000,185.84930,7.06837636e-05,1.68006327e-05,6.59246725e-05,6.9056
-520.000,185.85230,7.94226316e-05,6.14084366e-06,6.95010694e-05,9.5609
-500.000,185.85530,7.39460775e-05,1.83539920e-06,8.12574717e-05,5.8886
