delay_fs,position_mm,X_A,Y_A,R_A,theta_A
-1500.000,185.70530,1.30159944e-04,1.96388528e-05,1.25703547e-04,17.9085
-1480.000,185.70835,1.21882964e-04,1.16102674e-05,1.24854829e-04,6.9207
-1460.000,185.71135,1.28103586e-04,1.48465335e-05,1.19252933e-04,2.6365
-1440.000,185.71430,1.40517650e-04,2.48175917e-05,1.36028870e-04,8.6229
-1420.000,185.71735,1.23057807e-04,1.32781615e-05,1.23563859e-04,13.8620
-1400.000,185.72030,1.08912403e-04,2.48621700e-06,1.14249646e-04,6.0900
-1380.000,185.72330,1.52242814e-04,1.54349495e-05,1.43947100e-04,2.2839
-1360.000,185.72630,1.24809078e-04,1.63973391e-05,1.34886928e-04,5.8274
-1340.000,185.72935,1.22308600e-04,1.60990542e-05,1.14763330e-04,10.1779
-1320.000,185.73235,1.20002072e-04,9.27563258e-06,1.16572390e-04,8.4374
-1300.000,185.73535,1.26059893e-04,1.38718517e-05,1.14875180e-04,4.3815
-1280.000,185.73835,1.25000786e-04,-1.15580419e-05,1.26339251e-04,-1.2933
-1260.000,185.74135,1.21576462e-04,4.14974058e-06,1.15522187e-04,5.1883
-1240.000,185.74435,1.20299606e-04,-3.38127091e-06,1.27459392e-04,3.2342
-1220.000,185.74735,1.42711542e-04,1.06233055e-05,1.46207236e-04,-0.3513
-1200.000,185.75035,8.50621982e-05,-5.48347339e-06,8.91220188e-05,1.7617
-1180.000,185.75335,4.25212457e-05,8.27266638e-06,3.88875624e-05,23.2591
-1160.000,185.75635,1.05070230e-04,1.13639915e-05,9.98802680e-05,0.8981
-1140.000,185.75935,4.22449906e-04,4.08203987e-05,4.27268533e-04,6.3823
-1120.000,185.76235,4.22354584e-04,5.91296011e-05,4.80883253e-04,6.9335
-1100.000,185.76535,3.36708945e-04,4.26661309e-05,3.00958840e-04,9.6946
-1080.000,185.76835,1.67007493e-04,2.65745962e-05,1.72064229e-04,6.3956
-1060.000,185.77135,2.76282619e-04,3.73243993e-05,3.12532564e-04,6.8367
-1040.000,185.77435,7.65421661e-04,6.42631276e-05,7.85512893e-04,5.0718
-1020.000,185.77735,7.84595104e-04,6.73644172e-05,7.99426154e-04,4.9193
-1000.000,185.78035,1.78896436e-04,2.72198711e-05,2.03618514e-04,3.5837
-980.000,185.78335,8.25926838e-06,-1.92222431e-05,4.61192533e-05,-69.8527
-960.000,185.78630,1.27157462e-04,1.01523808e-05,1.42153973e-04,6.3983
-940.000,185.78930,1.32091933e-04,1.71550798e-05,1.29620650e-04,7.0350
-920.000,185.79230,1.25171689e-04,1.84368358e-05,1.18929813e-04,6.0443
-900.000,185.79525,1.79489172e-04,1.86864957e-05,1.67530929e-04,4.2897
-880.000,185.79830,1.59248528e-04,1.44926348e-05,1.54367252e-04,5.6932
