delay_fs,position_mm,X_A,Y_A,R_A,theta_A
-860.000,185.80130,1.20343588e-04,4.56172870e-06,1.23197200e-04,6.7409
-840.000,185.80430,1.27413283e-04,1.06643723e-05,1.27683663e-04,6.5411
-820.000,185.80730,1.26065257e-04,3.86705005e-06,1.25968179e-04,-0.0768
-800.000,185.81030,1.26782212e-04,1.81439789e-05,1.29874981e-04,8.8024
-780.000,185.81330,1.39604277e-04,2.59147214e-06,1.43050298e-04,2.7025
-760.000,185.81630,1.01449925e-04,2.83242712e-05,1.08132201e-04,9.1022
-740.000,185.81930,1.33657224e-04,1.24276276e-05,1.39927819e-04,2.4384
-720.000,185.82230,1.17884758e-04,2.27423857e-05,1.23022741e-04,5.7015
-700.000,185.82530,1.25115865e-04,9.78589557e-06,1.36669563e-04,5.8888
-680.000,185.82830,1.21136491e-04,-1.90561738e-06,1.25506100e-04,-0.8789
-660.000,185.83130,1.35327893e-04,1.85674062e-05,1.48672283e-04,9.1150
-640.000,185.83430,1.20776042e-04,-6.65387961e-06,1.23353384e-04,-0.9236
-620.000,185.83730,1.27929487e-04,1.77226957e-05,1.26709547e-04,6.1583
-600.000,185.84030,1.41223387e-04,7.17871092e-06,1.41490025e-04,0.5198
-580.000,185.84330,1.19698068e-04,3.86805204e-05,1.27102061e-04,15.3702
-560.000,185.84630,1.20796423e-04,3.17459273e-06,1.25610019e-04,4.6529
-540.000,185.84930,1.42033914e-04,2.33788880e-06,1.42720921e-04,-1.6664
-520.000,185.85230,1.13797536e-04,1.19017608e-05,1.19460274e-04,3.6300
-500.000,185.85530,1.29938977e-04,2.61629315e-05,1.44805588e-04,9.7684
-480.000,185.85825,1.46784059e-04,-1.11967292e-05,1.48085728e-04,2.8742
-460.000,185.86125,1.27154342e-04,1.15782641e-05,1.25684584e-04,1.6180
-440.000,185.86425,1.33330530e-04,8.67394891e-06,1.27840518e-04,1.7984
-420.000,185.86725,1.24935430e-04,7.92191531e-06,1.27233176e-04,0.2715
-400.000,185.87025,1.23621270e-04,1.08628346e-05,1.22253721e-04,1.8868
-380.000,185.87325,1.20775483e-04,-9.74918248e-06,1.18503245e-04,-2.7619
-360.000,185.87625,1.09226623e-04,1.61306968e-05,1.19040415e-04,5.5277
-340.000,185.87920,1.35087685e-04,-1.50413919e-05,1.38719333e-04,-2.5488
-320.000,185.88225,1.29423330e-04,7.23680500e-06,1.31650528e-04,0.9450
-300.000,185.88525,1.38231204e-04,1.59808628e-05,1.45696602e-04,5.8079
-280.000,185.88825,1.34053538e-04,3.87609498e-06,1.35469199e-04,1.5321
-260.000,185.89125,1.14009432e-04,-2.45007186e-07,1.14670265e-04,1.0945
-240.000,185.89425,1.20770732e-04,1.69903162e-05,1.30830589e-04,7.5622
-220.000,185.89725,1.21873341e-04,-9.43975635e-07,1.19699118e-04,5.2185
-200.000,185.90025,1.16333606e-04,-2.12749603e-06,1.17696924e-04,-3.6493
-180.000,185.90325,1.16248126e-04,2.27404639e-05,1.24851254e-04,8.7028
-160.000,185.90625,1.24201179e-04,1.32323055e-05,1.23276481e-04,7.2166
-140.000,185.90925,1.45482143e-04,2.81943494e-06,1.47772109e-04,-0.5998
-120.000,185.91225,1.35007247e-04,1.38225478e-05,1.29738364e-04,7.1631
-100.000,185.91525,1.33467547e-04,2.32882007e-05,1.37351464e-04,6.3555
-80.000,185.91825,1.58467337e-04,1.51428599e-05,1.60887950e-04,8.3574
-60.000,185.92125,1.27769054e-04,-2.75392995e-06,1.31312334e-04,2.3253
-40.000,185.92425,1.44046226e-04,1.45439315e-05,1.50763030e-04,2.1620
-20.000,185.92725,1.53296358e-04,9.78900130e-06,1.55520793e-04,5.1593
0.000,185.93025,1.18822976e-04,2.17919767e-05,1.38477182e-04,9.6269
20.000,185.93320,1.42566103e-04,1.84109035e-05,1.50800017e-04,6.3303
40.000,185.93620,1.31412155e-04,5.85906105e-06,1.36673816e-04,1.6923
60.000,185.93920,1.20052939e-04,1.91896145e-05,1.31524244e-04,10.4961
80.000,185.94220,1.31649278e-04,-1.61461151e-06,1.36480199e-04,0.2752
100.000,185.94520,1.25701303e-04,1.16557718e-05,1.29479184e-04,6.8204
120.000,185.94820,1.32143328e-04,7.66596167e-06,1.27096697e-04,2.8604
140.000,185.95120,1.32968331e-04,-3.39787834e-06,1.31696859e-04,7.6904
160.000,185.95420,1.36424540e-04,1.11563259e-05,1.35559683e-04,8.6359
180.000,185.95720,1.51421864e-04,-3.36902225e-06,1.57523031e-04,2.7720
200.000,185.96020,1.38313158e-04,6.51824621e-07,1.26518953e-04,3.2805
220.000,185.96320,1.42471286e-04,2.80727818e-07,1.46832535e-04,3.7768
240.000,185.96620,1.23822696e-04,2.52676666e-05,1.27934687e-04,6.5329
260.000,185.96920,1.30003442e-04,-1.40824807e-06,1.42694831e-04,-2.0771
280.000,185.97220,1.73179924e-04,7.07575714e-06,1.63625977e-04,1.1139
300.000,185.97520,1.26122135e-04,2.12761856e-05,1.15525825e-04,8.7648
320.000,185.97820,1.28993834e-04,2.03515526e-06,1.27440107e-04,2.7275
340.000,185.98120,1.28772526e-04,1.89370218e-05,1.26464090e-04,7.5310
360.000,185.98420,1.10082830e-04,1.05220338e-05,1.00290910e-04,9.3389
380.000,185.98720,1.06770432e-04,1.42357646e-05,1.23444153e-04,12.2668
400.000,185.99020,1.42484932e-04,1.23367157e-05,1.39093059e-04,6.3604
420.000,185.99320,1.14919194e-04,2.23844499e-05,1.25645156e-04,12.1692
440.000,185.99620,1.21489547e-04,1.22258961e-05,1.30083690e-04,6.3721
460.000,185.99920,1.16032557e-04,1.95794314e-07,1.14709001e-04,0.6042
480.000,186.00220,1.33329528e-04,1.49998611e-05,1.35478063e-04,6.6743
500.000,186.00515,1.37165760e-04,9.99650354e-06,1.43345073e-04,4.7961
